iter	Logloss
130	0.6917808403
131	0.691776971
132	0.6917763399
133	0.6917708662
134	0.6917625355
135	0.6917556364
136	0.6917519434
137	0.6917404921
138	0.6917347763
139	0.6917336239
140	0.6917298152
141	0.6917263576
142	0.6917223238
143	0.6917143835
144	0.6917101165
145	0.6917055859
146	0.6917028624
147	0.6916983637
148	0.6916959578
149	0.6916883346
150	0.6916860964
151	0.6916855199
152	0.6916818921
153	0.6916768168
154	0.691666603
155	0.6916651189
156	0.6916597553
157	0.6916577925
158	0.6916548229
159	0.6916456759
160	0.69164255
161	0.6916399664
162	0.6916308032
163	0.6916240232
164	0.6916232351
165	0.6916184476
166	0.6916161448
167	0.6916140661
168	0.6916137507
169	0.6916068655
170	0.6915931234
171	0.6915895681
172	0.6915864988
173	0.6915858927
174	0.6915823342
175	0.6915820989
176	0.6915793189
177	0.6915777244
178	0.6915740127
179	0.6915704129
180	0.6915671762
181	0.691562945
182	0.6915620399
183	0.6915605701
184	0.6915578838
185	0.6915527221
186	0.6915402695
187	0.691539078
188	0.6915356134
189	0.6915340128
190	0.6915309023
191	0.6915298511
192	0.691521516
193	0.691519017
194	0.6915162967
195	0.6915103261
196	0.6915058382
197	0.6915008186
198	0.6914991831
199	0.6914979794
200	0.6914971544
201	0.6914874698
202	0.6914818742
203	0.6914793833
204	0.6914734153
205	0.6914726943
206	0.6914613447
207	0.6914552247
208	0.6914507599
209	0.6914320486
210	0.691424865
211	0.6914202911
212	0.691419988
213	0.691417118
214	0.6914124529
215	0.6914102915
216	0.6914064338
217	0.691402886
218	0.6913947237
219	0.691391762
220	0.6913820865
221	0.6913766142
222	0.6913708608
223	0.691366515
224	0.6913640268
225	0.6913579438
226	0.6913520836
227	0.6913497007
228	0.6913381407
229	0.6913224749
230	0.6913194414
231	0.6913163618
232	0.6913122682
233	0.6913013035
234	0.6912936822
235	0.6912806954
236	0.691272202
237	0.6912688546
238	0.6912614365
239	0.6912505306
240	0.6912430707
241	0.6912356571
242	0.6912312181
243	0.691224656
244	0.691219789
245	0.6912092803
246	0.6912012106
247	0.6911963569
248	0.6911877813
249	0.6911799188
250	0.6911713734
251	0.6911664911
252	0.6911583189
253	0.6911548165
254	0.691149928
255	0.6911316269
256	0.6911243629
257	0.6911136323
258	0.6911068453
259	0.6910944961
260	0.6910888391
261	0.6910754118
262	0.6910709989
263	0.6910588498
264	0.6910497448
265	0.6910475
266	0.6910422589
267	0.6910358701
268	0.6910319031
269	0.6910251289
270	0.6910208852
271	0.6910128341
272	0.6910073595
273	0.6910000349
274	0.6909939391
275	0.6909836707
276	0.6909788736
277	0.6909754102
278	0.6909676985
279	0.6909573639
280	0.690954705
281	0.6909492859
282	0.6909429428
283	0.6909352625
284	0.6909307107
285	0.6909259622
286	0.6909166202
287	0.69091504
288	0.6909041154
289	0.6909001556
290	0.6908952345
291	0.6908902869
292	0.6908827128
293	0.6908727022
294	0.6908660921
295	0.6908605151
296	0.6908583413
297	0.6908491882
298	0.6908453952
299	0.6908327257
300	0.6908262839
301	0.690817939
302	0.6908128526
303	0.6908088656
304	0.6908031655
305	0.6907944774
306	0.6907846617
307	0.6907791301
308	0.6907763773
309	0.6907729375
310	0.6907662011
311	0.6907648753
312	0.6907576015
313	0.6907505286
314	0.6907491233
315	0.6907447921
316	0.6907399066
317	0.6907356534
318	0.690733537
319	0.6907276006
320	0.6907244539
321	0.6907190356
322	0.690710072
323	0.6907050021
324	0.6906989701
325	0.6906930928
326	0.6906845751
327	0.6906799918
328	0.690675248
329	0.6906698091
330	0.6906628627
331	0.6906613827
332	0.6906569017
333	0.6906502408
334	0.6906409113
335	0.6906395687
336	0.6906308642
337	0.6906242812
338	0.6906179142
339	0.6906147856
340	0.6906092113
341	0.6906069086
342	0.6906037857
343	0.690600302
344	0.6905969878
345	0.6905946823
346	0.6905893474
347	0.6905878274
348	0.6905796525
349	0.6905738144
350	0.6905697707
351	0.6905637648
352	0.6905586122
353	0.6905556182
354	0.6905518511
355	0.6905520569
356	0.690548955
357	0.6905433251
358	0.6905364369
359	0.6905329886
360	0.6905313491
361	0.6905251952
362	0.6905214384
363	0.6905168438
364	0.6905132636
365	0.690510418
366	0.6905042638
367	0.6904991469
368	0.6904932911
369	0.6904893442
370	0.690485608
371	0.6904829542
372	0.6904818647
373	0.6904787705
374	0.6904729182
375	0.6904716267
376	0.6904678668
377	0.6904659207
378	0.6904631972
379	0.6904586458
380	0.6904539111
381	0.6904521932
382	0.6904475868
383	0.6904454222
384	0.6904397255
385	0.6904375722
386	0.6904357853
387	0.6904313076
388	0.6904304881
389	0.6904254935
390	0.6904226778
391	0.6904180987
392	0.6904154005
393	0.6904132544
394	0.6904077918
395	0.6904061888
396	0.6904037783
397	0.690398622
398	0.6903951969
399	0.6903914757
400	0.6903903345
401	0.6903872589
402	0.690384559
403	0.690380477
404	0.690377342
405	0.6903705943
406	0.6903667124
407	0.690365476
408	0.6903605547
409	0.690355373
410	0.6903531009
411	0.6903494385
412	0.6903443495
413	0.6903440454
414	0.6903411519
415	0.6903384953
416	0.6903350677
417	0.6903329399
418	0.6903279689
419	0.6903246678
420	0.6903213032
421	0.6903167944
422	0.6903099318
423	0.6903067941
424	0.6903055987
425	0.6903011113
426	0.6902986462
427	0.6902958803
428	0.6902950195
429	0.6902916969
430	0.6902883927
431	0.6902863865
432	0.6902847744
433	0.690281329
434	0.6902783369
435	0.690275289
436	0.6902695246
437	0.6902685464
438	0.690268178
439	0.6902650011
440	0.6902627304
441	0.6902592094
442	0.6902578443
443	0.6902539247
444	0.6902522273
445	0.6902495987
446	0.69024577
447	0.6902444998
448	0.6902447143
449	0.6902420746
450	0.6902389909
451	0.6902340527
452	0.6902310399
453	0.6902296185
454	0.6902276516
455	0.6902260766
456	0.6902223005
457	0.6902209398
458	0.6902169039
459	0.6902162543
460	0.6902153632
461	0.6902126173
462	0.6902112318
463	0.6902054121
464	0.6902014294
465	0.6901998005
466	0.6901977022
467	0.6901957994
468	0.6901900572
469	0.6901889077
470	0.6901854467
471	0.6901837577
472	0.6901818207
473	0.6901799664
474	0.6901782464
475	0.6901770159
476	0.690174612
477	0.6901739902
478	0.6901705869
479	0.690167497
480	0.6901651702
481	0.6901620396
482	0.6901608849
483	0.6901589853
484	0.6901571392
485	0.6901526127
486	0.6901505365
487	0.6901490027
488	0.6901480819
489	0.6901476097
490	0.6901468131
491	0.6901438896
492	0.6901421744
493	0.6901401754
494	0.6901376624
495	0.6901382062
496	0.6901351508
497	0.690133998
498	0.6901315331
499	0.6901291275
500	0.690126505
501	0.6901256154
502	0.6901243486
503	0.6901236739
504	0.6901204985
505	0.6901201734
506	0.6901178313
507	0.690115437
508	0.6901129742
509	0.6901093601
510	0.6901080764
511	0.6901054426
512	0.6901041873
513	0.6901014777
514	0.6901001267
515	0.6900985113
516	0.69009669
517	0.6900959796
518	0.6900944798
519	0.6900914321
520	0.690089809
521	0.6900881226
522	0.6900851725
523	0.6900833587
524	0.690080835
525	0.6900799621
526	0.6900780702
527	0.6900772606
528	0.6900748747
529	0.6900730967
530	0.6900714558
531	0.6900703567
532	0.690067654
533	0.6900673566
534	0.6900669038
535	0.6900646965
536	0.6900632408
537	0.6900630591
538	0.6900598822
539	0.6900585101
540	0.6900582818
541	0.6900576756
542	0.6900546214
543	0.6900502241
544	0.6900477119
545	0.690046883
546	0.6900467454
547	0.6900448896
548	0.6900448764
549	0.6900423558
550	0.6900391936
551	0.6900349523
552	0.6900324379
553	0.6900305987
554	0.6900273459
555	0.6900253796
556	0.6900238852
557	0.6900194747
558	0.6900175053
559	0.6900167443
560	0.6900139721
561	0.6900127532
562	0.6900121372
563	0.6900101144
564	0.6900095159
565	0.6900072059
566	0.6900058718
567	0.6900047776
568	0.6900022614
569	0.6900017462
570	0.6900003235
571	0.6899983578
572	0.6899978086
573	0.6899960882
574	0.6899964501
575	0.6899965409
576	0.6899951538
577	0.6899900805
578	0.6899891997
579	0.689987837
580	0.6899867935
581	0.6899835057
582	0.6899825576
583	0.6899820952
584	0.6899797051
585	0.6899785424
586	0.68997486
587	0.6899730665
588	0.689970813
589	0.689967324
590	0.6899652877
591	0.6899604707
592	0.6899592242
593	0.6899580697
594	0.6899577527
595	0.6899567625
596	0.6899535394
597	0.689950978
598	0.6899496516
599	0.6899468733
600	0.6899474462
601	0.689946089
602	0.6899461422
603	0.6899429642
604	0.6899412869
605	0.6899388953
606	0.6899383592
607	0.6899372937
608	0.689935763
609	0.6899323866
610	0.6899319439
611	0.6899307392
612	0.6899270753
613	0.6899257878
614	0.6899221273
615	0.6899203613
616	0.6899198173
617	0.6899195432
618	0.6899166017
619	0.6899166178
620	0.689913381
621	0.6899120033
622	0.6899117089
623	0.6899098791
624	0.6899091936
625	0.6899070314
626	0.6899057207
627	0.6899052603
628	0.6899054215
629	0.6899026697
630	0.6899017318
631	0.6898996405
632	0.6898976369
633	0.6898960579
634	0.689893615
635	0.689893246
636	0.689892769
637	0.6898907996
638	0.6898899402
639	0.6898884799
640	0.6898880812
641	0.6898857215
642	0.6898836615
643	0.6898823
644	0.6898816996
645	0.6898818412
646	0.6898811338
647	0.6898795275
648	0.6898793426
649	0.6898769714
650	0.6898768257
651	0.6898758086
652	0.6898745054
653	0.6898736118
654	0.6898724296
655	0.6898707274
656	0.6898690552
657	0.6898692647
658	0.689867715
659	0.6898670786
660	0.6898655159
661	0.6898642864
662	0.6898631723
663	0.6898609402
664	0.689859406
665	0.6898580701
666	0.6898564404
667	0.6898567221
668	0.6898542704
669	0.6898530493
670	0.6898519977
671	0.6898520286
672	0.6898512255
673	0.6898501551
674	0.689849783
675	0.6898484513
676	0.6898481943
677	0.6898459053
678	0.6898456295
679	0.689843371
680	0.6898439428
681	0.6898414927
682	0.6898409052
683	0.6898398524
684	0.6898385772
685	0.689836764
686	0.6898331495
687	0.6898319355
688	0.6898301908
689	0.689828411
690	0.6898279461
691	0.6898272548
692	0.6898258242
693	0.6898263199
694	0.6898255293
695	0.6898251287
696	0.6898215788
697	0.6898210471
698	0.689820851
699	0.6898193318
700	0.6898183459
701	0.6898156155
702	0.6898141098
703	0.6898143037
704	0.6898127565
705	0.6898119063
706	0.6898112903
707	0.6898102232
708	0.689808881
709	0.6898085631
710	0.6898064063
711	0.6898056379
712	0.6898048551
713	0.6898048151
714	0.6898041911
715	0.6898027591
716	0.6898016113
717	0.6898004625
718	0.68980051
719	0.6898002907
720	0.6898003416
721	0.6897993689
722	0.6897982334
723	0.6897947312
724	0.6897925769
725	0.6897918447
726	0.6897898326
727	0.6897890012
728	0.6897863081
729	0.6897840899
730	0.6897836511
731	0.6897822995
732	0.6897819284
733	0.689780985
734	0.6897812614
735	0.6897798918
736	0.6897791517
737	0.6897774468
738	0.6897758403
739	0.689774637
740	0.6897737285
741	0.6897737754
742	0.689772349
743	0.6897717209
744	0.6897673183
745	0.6897656802
746	0.6897648787
747	0.6897638982
748	0.6897624972
749	0.6897607869
750	0.6897599639
751	0.68975925
752	0.689758575
753	0.6897581239
754	0.6897570245
755	0.689756322
756	0.6897554992
757	0.6897552598
758	0.6897540863
759	0.6897538086
760	0.6897541005
761	0.689753286
762	0.6897528416
763	0.6897517482
764	0.6897521689
765	0.6897499862
766	0.6897461625
767	0.6897451966
768	0.6897437862
769	0.6897433223
770	0.6897424732
771	0.6897413882
772	0.6897411285
773	0.6897405254
774	0.6897398606
775	0.6897386014
776	0.6897376846
777	0.689737374
778	0.6897371948
779	0.6897365977
780	0.6897357424
781	0.6897356639
782	0.6897339033
783	0.6897331655
784	0.6897335481
785	0.6897332984
786	0.6897323202
787	0.6897301601
788	0.6897289806
789	0.6897281532
790	0.6897283844
791	0.6897272524
792	0.6897271409
793	0.6897261658
794	0.6897261242
795	0.6897240855
796	0.6897242382
797	0.6897239724
798	0.6897226812
799	0.6897227241
800	0.6897214569
801	0.6897213456
802	0.689718878
803	0.6897177509
804	0.6897161227
805	0.6897157454
806	0.6897153551
807	0.6897137405
808	0.6897122082
809	0.6897120074
810	0.6897107434
811	0.6897098913
812	0.6897105989
813	0.6897097845
814	0.689708782
815	0.6897088993
816	0.6897075001
817	0.6897076102
818	0.6897070471
819	0.6897057908
820	0.6897038557
821	0.6897041533
822	0.6897028334
823	0.6897020614
824	0.689701238
825	0.6896998765
826	0.6896992872
827	0.6896993999
828	0.6896995026
829	0.6896981541
830	0.689698344
831	0.6896961223
832	0.6896926268
833	0.6896925803
834	0.6896919026
835	0.6896901177
836	0.689689866
837	0.6896890081
838	0.6896876547
839	0.6896870822
840	0.6896869399
841	0.6896868459
842	0.6896871353
843	0.6896858252
844	0.6896852148
845	0.6896841323
846	0.6896831712
847	0.6896829777
848	0.6896822505
849	0.6896819179
850	0.6896802142
851	0.689677811
852	0.6896779128
853	0.6896768657
854	0.6896763432
855	0.6896767051
856	0.6896754515
857	0.6896745669
858	0.6896736694
859	0.6896737929
860	0.6896731744
861	0.6896730547
862	0.6896717445
863	0.689668757
864	0.6896687945
865	0.6896675855
866	0.6896650624
867	0.6896656653
868	0.6896650705
869	0.6896638647
870	0.6896643232
871	0.6896637202
872	0.6896630626
873	0.6896613609
874	0.6896592414
875	0.6896581945
876	0.6896581541
877	0.6896580443
878	0.689657642
879	0.6896569676
880	0.6896561208
881	0.6896551615
882	0.6896529756
883	0.6896532248
884	0.6896512012
885	0.6896514586
886	0.6896501828
887	0.6896491447
888	0.6896461712
889	0.6896462351
890	0.6896453305
891	0.6896448897
892	0.6896445037
893	0.6896441323
894	0.689644178
895	0.6896432289
896	0.6896431897
897	0.6896420294
898	0.6896405124
899	0.6896386392
900	0.689638723
901	0.6896375013
902	0.6896372718
903	0.6896369022
904	0.6896362213
905	0.6896358362
906	0.6896357097
907	0.689635381
908	0.6896351536
909	0.6896339845
910	0.6896343973
911	0.6896330257
912	0.6896325733
913	0.6896316946
914	0.6896298496
915	0.6896269041
916	0.6896261858
917	0.6896265737
918	0.6896256487
919	0.6896248127
920	0.6896236049
921	0.6896229565
922	0.6896229168
923	0.6896233322
924	0.6896215221
925	0.6896199176
926	0.6896198292
927	0.6896193494
928	0.6896185
929	0.6896153118
930	0.6896151483
931	0.6896156292
932	0.6896147062
933	0.6896145615
934	0.6896154913
935	0.6896146141
936	0.6896142834
937	0.6896137532
938	0.6896128718
939	0.6896119796
940	0.6896124512
941	0.6896125236
942	0.6896112648
943	0.6896105115
944	0.6896102917
945	0.6896085322
946	0.6896086262
947	0.6896084333
948	0.6896083059
949	0.6896065777
950	0.6896061648
951	0.6896061648
952	0.6896074442
953	0.6896058501
954	0.689605359
955	0.689603238
956	0.6896022006
957	0.6896015058
958	0.6896007211
959	0.6896004262
960	0.6896000514
961	0.6895999373
962	0.6895992172
963	0.6895983651
964	0.6895978748
965	0.6895974352
966	0.6895969697
967	0.6895968068
968	0.6895959488
969	0.6895955819
970	0.6895949171
971	0.6895939582
972	0.6895926992
973	0.6895925744
974	0.6895915846
975	0.6895917134
976	0.6895901793
977	0.6895886826
978	0.6895876933
979	0.6895878459
980	0.6895875679
981	0.689586622
982	0.6895860674
983	0.6895858039
984	0.6895859271
985	0.6895850693
986	0.689585192
987	0.6895841897
988	0.689583871
989	0.6895845388
990	0.6895816568
991	0.6895813643
992	0.6895810299
993	0.6895793549
994	0.6895784869
995	0.6895774071
996	0.6895774
997	0.6895760585
998	0.6895750459
999	0.689575346
