iter	Passed	Remaining
247	1809	5486
248	1817	5481
249	1824	5473
250	1831	5465
251	1838	5457
252	1845	5448
253	1851	5438
254	1859	5431
255	1865	5421
256	1873	5416
257	1880	5407
258	1886	5398
259	1892	5386
260	1899	5377
261	1906	5369
262	1911	5356
263	1918	5348
264	1925	5340
265	1931	5330
266	1938	5322
267	1946	5315
268	1953	5307
269	1959	5297
270	1966	5289
271	1973	5282
272	1980	5273
273	1987	5265
274	1993	5256
275	2001	5249
276	2006	5236
277	2012	5225
278	2019	5219
279	2026	5212
280	2034	5205
281	2041	5196
282	2047	5188
283	2054	5180
284	2061	5171
285	2067	5162
286	2074	5153
287	2080	5143
288	2088	5139
289	2094	5127
290	2101	5120
291	2108	5111
292	2115	5104
293	2122	5096
294	2128	5086
295	2135	5078
296	2141	5069
297	2149	5062
298	2155	5053
299	2162	5045
300	2168	5035
301	2173	5023
302	2181	5017
303	2188	5010
304	2195	5003
305	2201	4992
306	2207	4982
307	2214	4976
308	2221	4968
309	2229	4962
310	2235	4952
311	2241	4942
312	2248	4935
313	2254	4924
314	2260	4915
315	2266	4906
316	2273	4898
317	2280	4890
318	2287	4884
319	2294	4875
320	2299	4864
321	2306	4856
322	2313	4849
323	2320	4841
324	2327	4834
325	2334	4826
326	2340	4817
327	2348	4811
328	2355	4804
329	2363	4798
330	2370	4791
331	2377	4784
332	2384	4775
333	2391	4767
334	2398	4761
335	2404	4751
336	2411	4744
337	2418	4736
338	2424	4726
339	2431	4719
340	2437	4709
341	2444	4703
342	2451	4695
343	2458	4687
344	2465	4680
345	2473	4676
346	2481	4669
347	2488	4662
348	2497	4658
349	2504	4651
350	2511	4643
351	2519	4637
352	2527	4632
353	2534	4625
354	2541	4618
355	2548	4609
356	2556	4604
357	2564	4598
358	2572	4592
359	2579	4586
360	2586	4579
361	2594	4573
362	2602	4566
363	2610	4561
364	2618	4555
365	2627	4551
366	2634	4543
367	2642	4538
368	2650	4531
369	2658	4526
370	2664	4518
371	2674	4514
372	2681	4508
373	2689	4501
374	2698	4497
375	2707	4492
376	2716	4488
377	2724	4482
378	2732	4476
379	2740	4470
380	2748	4465
381	2757	4461
382	2765	4455
383	2772	4447
384	2780	4441
385	2788	4435
386	2795	4427
387	2803	4421
388	2810	4414
389	2818	4409
390	2827	4404
391	2835	4397
392	2843	4391
393	2850	4384
394	2856	4374
395	2862	4366
396	2869	4358
397	2875	4349
398	2882	4341
399	2888	4333
400	2894	4323
401	2901	4316
402	2907	4307
403	2915	4300
404	2922	4293
405	2929	4285
406	2936	4278
407	2941	4268
408	2948	4260
409	2955	4252
410	2962	4244
411	2968	4237
412	2975	4228
413	2982	4221
414	2988	4213
415	2996	4205
416	3002	4197
417	3009	4189
418	3015	4181
419	3023	4175
420	3030	4168
421	3036	4158
422	3042	4150
423	3049	4143
424	3056	4134
425	3062	4126
426	3069	4119
427	3075	4110
428	3082	4102
429	3088	4094
430	3095	4086
431	3102	4078
432	3108	4070
433	3116	4063
434	3122	4055
435	3130	4049
436	3137	4042
437	3143	4033
438	3151	4027
439	3157	4018
440	3165	4012
441	3171	4003
442	3178	3996
443	3185	3988
444	3191	3980
445	3198	3972
446	3205	3965
447	3212	3958
448	3218	3950
449	3226	3943
450	3233	3936
451	3240	3928
452	3246	3919
453	3251	3910
454	3258	3903
455	3265	3895
456	3271	3886
457	3278	3879
458	3284	3871
459	3291	3863
460	3297	3855
461	3304	3847
462	3310	3840
463	3316	3831
464	3324	3824
465	3330	3816
466	3336	3807
467	3343	3800
468	3350	3793
469	3357	3786
470	3364	3778
471	3369	3769
472	3376	3762
473	3383	3754
474	3390	3747
475	3396	3739
476	3403	3731
477	3410	3724
478	3416	3716
479	3424	3710
480	3431	3702
481	3437	3694
482	3444	3686
483	3451	3679
484	3458	3672
485	3465	3665
486	3472	3657
487	3478	3649
488	3483	3640
489	3489	3632
490	3495	3624
491	3503	3617
492	3509	3609
493	3515	3601
494	3523	3594
495	3530	3587
496	3537	3580
497	3544	3573
498	3551	3565
499	3559	3559
500	3565	3550
501	3572	3544
502	3578	3536
503	3586	3529
504	3593	3522
505	3599	3514
506	3605	3506
507	3613	3499
508	3619	3491
509	3626	3484
510	3633	3477
511	3640	3469
512	3647	3462
513	3654	3455
514	3660	3447
515	3666	3439
516	3673	3432
517	3680	3424
518	3686	3417
519	3694	3409
520	3701	3402
521	3708	3396
522	3716	3389
523	3722	3381
524	3729	3374
525	3736	3366
526	3743	3359
527	3750	3352
528	3757	3345
529	3763	3337
530	3770	3330
531	3777	3323
532	3784	3315
533	3790	3307
534	3797	3300
535	3804	3293
536	3811	3286
537	3817	3278
538	3824	3270
539	3831	3264
540	3838	3256
541	3845	3249
542	3852	3242
543	3860	3235
544	3866	3228
545	3873	3221
546	3879	3212
547	3886	3205
548	3893	3198
549	3900	3191
550	3908	3184
551	3914	3176
552	3920	3168
553	3926	3161
554	3932	3153
555	3939	3146
556	3945	3138
557	3953	3131
558	3960	3124
559	3967	3117
560	3974	3110
561	3980	3102
562	3988	3095
563	3995	3088
564	4001	3080
565	4008	3073
566	4014	3065
567	4021	3058
568	4027	3050
569	4033	3042
570	4040	3035
571	4045	3027
572	4052	3020
573	4058	3012
574	4064	3004
575	4072	2997
576	4079	2990
577	4088	2984
578	4094	2977
579	4102	2970
580	4108	2963
581	4116	2956
582	4124	2949
583	4131	2943
584	4139	2936
585	4145	2929
586	4154	2922
587	4163	2917
588	4172	2911
589	4179	2904
590	4188	2898
591	4196	2891
592	4205	2886
593	4213	2879
594	4221	2873
595	4228	2866
596	4238	2860
597	4246	2854
598	4255	2848
599	4264	2842
600	4273	2837
601	4282	2831
602	4289	2823
603	4297	2817
604	4305	2810
605	4312	2804
606	4320	2797
607	4327	2790
608	4335	2783
609	4343	2777
610	4351	2770
611	4359	2763
612	4367	2757
613	4374	2750
614	4383	2744
615	4390	2737
616	4398	2730
617	4406	2723
618	4414	2717
619	4421	2709
620	4428	2702
621	4436	2695
622	4444	2689
623	4452	2683
624	4460	2676
625	4468	2669
626	4476	2663
627	4485	2656
628	4493	2650
629	4501	2643
630	4509	2637
631	4517	2630
632	4526	2624
633	4532	2616
634	4539	2609
635	4547	2602
636	4555	2595
637	4563	2589
638	4571	2582
639	4579	2575
640	4586	2568
641	4594	2562
642	4602	2555
643	4611	2549
644	4619	2542
645	4627	2535
646	4634	2528
647	4644	2522
648	4650	2515
649	4659	2508
650	4666	2501
651	4674	2495
652	4683	2488
653	4690	2481
654	4699	2475
655	4707	2468
656	4716	2462
657	4724	2455
658	4733	2449
659	4743	2443
660	4753	2437
661	4762	2431
662	4770	2424
663	4778	2418
664	4787	2411
665	4796	2405
666	4804	2398
667	4810	2391
668	4818	2384
669	4826	2377
670	4832	2369
671	4839	2362
672	4846	2354
673	4854	2348
674	4861	2340
675	4869	2333
676	4876	2326
677	4883	2319
678	4891	2312
679	4897	2304
680	4904	2297
681	4910	2289
682	4917	2282
683	4922	2274
684	4929	2266
685	4935	2258
686	4942	2251
687	4949	2244
688	4956	2237
689	4964	2230
690	4970	2222
691	4979	2216
692	4986	2209
693	4993	2201
694	4999	2194
695	5004	2186
696	5012	2178
697	5018	2171
698	5026	2164
699	5033	2157
700	5040	2150
701	5048	2143
702	5055	2135
703	5062	2128
704	5068	2120
705	5075	2113
706	5082	2106
707	5090	2099
708	5096	2091
709	5103	2084
710	5111	2077
711	5118	2070
712	5125	2063
713	5131	2055
714	5136	2047
715	5144	2040
716	5151	2033
717	5159	2026
718	5165	2018
719	5172	2011
720	5179	2004
721	5187	1997
722	5195	1990
723	5201	1982
724	5209	1976
725	5215	1968
726	5222	1961
727	5229	1953
728	5235	1946
729	5241	1938
730	5248	1931
731	5256	1924
732	5263	1917
733	5271	1910
734	5277	1902
735	5284	1895
736	5293	1888
737	5298	1881
738	5306	1874
739	5312	1866
740	5319	1859
741	5326	1851
742	5332	1844
743	5340	1837
744	5347	1830
745	5355	1823
746	5362	1816
747	5370	1809
748	5377	1802
749	5386	1795
750	5394	1788
751	5402	1781
752	5409	1774
753	5416	1767
754	5423	1759
755	5430	1752
756	5438	1745
757	5445	1738
758	5452	1731
759	5459	1724
760	5466	1716
761	5473	1709
762	5481	1702
763	5489	1695
764	5494	1688
765	5503	1681
766	5510	1674
767	5517	1666
768	5524	1659
769	5532	1652
770	5540	1645
771	5548	1638
772	5555	1631
773	5562	1624
774	5569	1617
775	5576	1609
776	5583	1602
777	5589	1594
778	5597	1588
779	5604	1580
780	5612	1573
781	5619	1566
782	5626	1559
783	5634	1552
784	5640	1544
785	5648	1537
786	5654	1530
787	5661	1523
788	5668	1515
789	5674	1508
790	5682	1501
791	5688	1493
792	5694	1486
793	5701	1479
794	5706	1471
795	5713	1464
796	5719	1456
797	5725	1449
798	5732	1442
799	5737	1434
800	5745	1427
801	5750	1419
802	5757	1412
803	5764	1405
804	5770	1397
805	5776	1390
806	5782	1383
807	5788	1375
808	5796	1368
809	5803	1361
810	5810	1354
811	5817	1346
812	5825	1339
813	5832	1332
814	5838	1325
815	5845	1318
816	5853	1311
817	5861	1304
818	5868	1296
819	5876	1289
820	5883	1282
821	5890	1275
822	5898	1268
823	5904	1261
824	5912	1254
825	5919	1246
826	5926	1239
827	5932	1232
828	5940	1225
829	5946	1218
830	5952	1210
831	5960	1203
832	5966	1196
833	5972	1188
834	5979	1181
835	5985	1174
836	5991	1166
837	5997	1159
838	6003	1152
839	6009	1144
840	6015	1137
841	6022	1130
842	6029	1122
843	6036	1115
844	6044	1108
845	6051	1101
846	6058	1094
847	6065	1087
848	6072	1080
849	6078	1072
850	6084	1065
851	6091	1058
852	6098	1050
853	6104	1043
854	6112	1036
855	6119	1029
856	6126	1022
857	6131	1014
858	6138	1007
859	6144	1000
860	6150	992
861	6158	985
862	6165	978
863	6173	971
864	6179	964
865	6187	957
866	6194	950
867	6201	943
868	6208	935
869	6214	928
870	6220	921
871	6228	914
872	6235	907
873	6243	900
874	6250	892
875	6257	885
876	6264	878
877	6273	871
878	6280	864
879	6286	857
880	6294	850
881	6301	843
882	6308	835
883	6315	828
884	6322	821
885	6329	814
886	6337	807
887	6344	800
888	6350	792
889	6358	785
890	6364	778
891	6371	771
892	6377	764
893	6383	756
894	6390	749
895	6396	742
896	6403	735
897	6410	728
898	6417	720
899	6424	713
900	6430	706
901	6437	699
902	6443	692
903	6449	684
904	6457	677
905	6463	670
906	6470	663
907	6476	656
908	6481	648
909	6488	641
910	6494	634
911	6500	627
912	6507	620
913	6513	612
914	6521	605
915	6528	598
916	6534	591
917	6541	584
918	6547	577
919	6553	569
920	6558	562
921	6566	555
922	6572	548
923	6579	541
924	6587	534
925	6595	527
926	6603	520
927	6610	512
928	6618	505
929	6626	498
930	6633	491
931	6640	484
932	6648	477
933	6656	470
934	6662	463
935	6670	456
936	6677	448
937	6684	441
938	6693	434
939	6702	427
940	6709	420
941	6717	413
942	6725	406
943	6732	399
944	6738	392
945	6745	385
946	6751	377
947	6758	370
948	6765	363
949	6771	356
950	6777	349
951	6783	342
952	6788	334
953	6795	327
954	6801	320
955	6809	313
956	6815	306
957	6823	299
958	6831	292
959	6839	284
960	6846	277
961	6854	270
962	6862	263
963	6870	256
964	6877	249
965	6885	242
966	6893	235
967	6900	228
968	6907	220
969	6916	213
970	6922	206
971	6929	199
972	6936	192
973	6943	185
974	6951	178
975	6957	171
976	6965	163
977	6972	156
978	6980	149
979	6986	142
980	6993	135
981	7000	128
982	7006	121
983	7012	114
984	7019	106
985	7025	99
986	7030	92
987	7037	85
988	7044	78
989	7049	71
990	7057	64
991	7063	56
992	7070	49
993	7077	42
994	7084	35
995	7091	28
996	7098	21
997	7104	14
998	7111	7
999	7118	0
